timestamp,container,cpu_pct,mem_usage,mem_limit,mem_pct
2026-02-22T12:30:20Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:20Z,sxng-exp-05,0.00%,83.69MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:27Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-08,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-04,0.00%,97.08MiB,200MiB,48.54%
2026-02-22T12:30:27Z,sxng-exp-10,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:27Z,sxng-exp-11,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-13,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:27Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:27Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-07,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-12,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:27Z,sxng-exp-03,0.00%,96.45MiB,200MiB,48.22%
2026-02-22T12:30:27Z,sxng-exp-01,0.00%,96.26MiB,200MiB,48.13%
2026-02-22T12:30:27Z,sxng-exp-09,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-02,0.00%,100.5MiB,200MiB,50.27%
2026-02-22T12:30:27Z,sxng-exp-06,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:27Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:27Z,sxng-exp-05,6.26%,96.34MiB,200MiB,48.17%
2026-02-22T12:30:32Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:32Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-08,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-04,0.00%,96.79MiB,200MiB,48.39%
2026-02-22T12:30:32Z,sxng-exp-10,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:32Z,sxng-exp-11,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-13,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:32Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:32Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-07,18.86%,96.43MiB,200MiB,48.21%
2026-02-22T12:30:32Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-12,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:32Z,sxng-exp-03,0.00%,96.37MiB,200MiB,48.18%
2026-02-22T12:30:32Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.93%
2026-02-22T12:30:32Z,sxng-exp-09,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:32Z,sxng-exp-02,0.00%,100.5MiB,200MiB,50.27%
2026-02-22T12:30:32Z,sxng-exp-06,0.00%,97.58MiB,200MiB,48.79%
2026-02-22T12:30:32Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:32Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.79%
2026-02-22T12:30:39Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:39Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:39Z,sxng-exp-08,0.00%,98.34MiB,200MiB,49.17%
2026-02-22T12:30:39Z,sxng-exp-04,0.00%,96.59MiB,200MiB,48.29%
2026-02-22T12:30:39Z,sxng-exp-10,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:39Z,sxng-exp-11,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:39Z,sxng-exp-13,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:39Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:39Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:39Z,sxng-exp-07,0.00%,95.87MiB,200MiB,47.93%
2026-02-22T12:30:39Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:39Z,sxng-exp-12,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:39Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:39Z,sxng-exp-03,0.00%,96.16MiB,200MiB,48.08%
2026-02-22T12:30:39Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:30:39Z,sxng-exp-09,8.55%,96.96MiB,200MiB,48.48%
2026-02-22T12:30:39Z,sxng-exp-02,0.00%,100.8MiB,200MiB,50.40%
2026-02-22T12:30:39Z,sxng-exp-06,0.00%,96.96MiB,200MiB,48.48%
2026-02-22T12:30:39Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:39Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.79%
2026-02-22T12:30:45Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:45Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:45Z,sxng-exp-08,0.00%,97.82MiB,200MiB,48.91%
2026-02-22T12:30:45Z,sxng-exp-04,0.00%,96.18MiB,200MiB,48.09%
2026-02-22T12:30:45Z,sxng-exp-10,19.25%,97.96MiB,200MiB,48.98%
2026-02-22T12:30:45Z,sxng-exp-11,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:45Z,sxng-exp-13,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:45Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:45Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:45Z,sxng-exp-07,0.00%,95.86MiB,200MiB,47.93%
2026-02-22T12:30:45Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:45Z,sxng-exp-12,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:45Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:45Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:30:45Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:30:45Z,sxng-exp-09,0.00%,96.8MiB,200MiB,48.40%
2026-02-22T12:30:45Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:30:45Z,sxng-exp-06,0.00%,96.71MiB,200MiB,48.35%
2026-02-22T12:30:45Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:45Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.79%
2026-02-22T12:30:51Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:51Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:51Z,sxng-exp-08,0.00%,97.75MiB,200MiB,48.88%
2026-02-22T12:30:51Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:30:51Z,sxng-exp-10,0.00%,97.88MiB,200MiB,48.94%
2026-02-22T12:30:51Z,sxng-exp-11,0.00%,99.32MiB,200MiB,49.66%
2026-02-22T12:30:51Z,sxng-exp-13,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:51Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:51Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:51Z,sxng-exp-07,0.00%,95.86MiB,200MiB,47.93%
2026-02-22T12:30:51Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:51Z,sxng-exp-12,11.72%,95.17MiB,200MiB,47.59%
2026-02-22T12:30:51Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:51Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:30:51Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
